#lab INRiM MiCb 30mK plate
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
17.600000	3.324000	1.234774	17.338550
17.400000	3.318000	-2.148409	15.881470
17.200000	3.304000	0.765482	9.627521
17.000000	3.319000	-2.247542	10.659620
16.800000	3.307000	5.030662	14.541160
16.600000	3.288000	-0.132568	23.566650
16.400000	3.267000	-3.739660	24.497500
16.200000	3.319000	-3.888018	23.607560
16.000000	3.308000	-1.804156	11.402320
15.800000	3.289000	-3.157818	17.553090
15.600000	3.268000	4.060065	16.236340
15.400000	3.318000	-2.724491	13.717230
15.200000	3.308000	1.430825	12.857940
15.000000	3.290000	3.495763	19.374310
14.800000	3.268000	1.867465	24.977270
14.600000	3.295000	2.636040	15.757920
14.400000	3.273000	-2.218489	8.505989
14.200000	3.256000	2.474970	9.563851
14.000000	3.252000	2.835193	22.397990
13.800000	3.296000	2.726774	18.793730
13.600000	3.274000	0.091395	14.385800
13.400000	3.257000	3.584342	17.321520
13.200000	3.250000	2.845308	15.465330
13.000000	3.297000	-3.318384	18.657520
12.800000	3.277000	0.877252	16.293370
12.600000	3.258000	5.228421	13.485550
12.400000	3.249000	-4.417523	13.004960
12.200000	3.261000	-0.134186	13.527640
12.000000	3.249000	-0.477502	12.856140
11.800000	3.247000	-3.052912	14.242680
11.600000	3.251000	3.903646	10.055030
11.400000	3.260000	4.168384	18.340080
11.200000	3.248000	-3.405172	23.561180
